classifier,fold,val_accuracy,train_accuracy,best_k,best_params
NearestCentroid,84,0.5,0.8484848484848485,249,"OrderedDict({'clf__shrink_threshold': 1.5, 'kruskal__k': 249})"
NearestCentroid,85,0.7272727272727273,0.9253731343283582,83,"OrderedDict({'clf__shrink_threshold': 1.5, 'kruskal__k': 83})"
NearestCentroid,86,0.7272727272727273,0.835820895522388,83,"OrderedDict({'clf__shrink_threshold': 1.5, 'kruskal__k': 83})"
NearestCentroid,87,0.6470588235294118,0.9090909090909091,458,"OrderedDict({'clf__shrink_threshold': 1.5, 'kruskal__k': 458})"
NearestCentroid,88,0.6666666666666666,0.7761194029850746,202,"OrderedDict({'clf__shrink_threshold': 2.0, 'kruskal__k': 202})"
NearestCentroid,89,0.45454545454545453,0.7761194029850746,83,"OrderedDict({'clf__shrink_threshold': 1.5, 'kruskal__k': 83})"
SVM_linear,0,0.7647058823529411,1.0,83,"OrderedDict({'clf__C': 1.225853491690883, 'kruskal__k': 83})"
SVM_linear,1,0.7575757575757576,0.9850746268656716,119,"OrderedDict({'clf__C': 0.6270972664750859, 'kruskal__k': 119})"
SVM_linear,2,0.6666666666666666,0.9701492537313433,164,"OrderedDict({'clf__C': 0.029474746183613332, 'kruskal__k': 164})"
SVM_linear,3,0.6764705882352942,1.0,360,"OrderedDict({'clf__C': 3.070506229675469, 'kruskal__k': 360})"
SVM_linear,4,0.5757575757575758,1.0,327,"OrderedDict({'clf__C': 2.115180229697795, 'kruskal__k': 327})"
SVM_linear,5,0.696969696969697,1.0,86,"OrderedDict({'clf__C': 16.8153506890926, 'kruskal__k': 86})"
SVM_linear,6,0.6470588235294118,1.0,95,"OrderedDict({'clf__C': 61.661528711584914, 'kruskal__k': 95})"
SVM_linear,7,0.6666666666666666,1.0,144,"OrderedDict({'clf__C': 9.089318543797475, 'kruskal__k': 144})"
SVM_linear,8,0.6666666666666666,0.9701492537313433,607,"OrderedDict({'clf__C': 0.001781498150329494, 'kruskal__k': 607})"
SVM_linear,9,0.6176470588235294,0.9696969696969697,607,"OrderedDict({'clf__C': 0.005327192993365734, 'kruskal__k': 607})"
SVM_linear,10,0.696969696969697,1.0,83,"OrderedDict({'clf__C': 100.0, 'kruskal__k': 83})"
SVM_linear,11,0.8484848484848485,1.0,106,"OrderedDict({'clf__C': 100.0, 'kruskal__k': 106})"
SVM_linear,12,0.8529411764705882,0.9848484848484849,83,"OrderedDict({'clf__C': 0.2874267246488818, 'kruskal__k': 83})"
SVM_linear,13,0.696969696969697,0.9104477611940298,178,"OrderedDict({'clf__C': 0.011401723782578903, 'kruskal__k': 178})"
SVM_linear,14,0.6666666666666666,1.0,83,"OrderedDict({'clf__C': 100.0, 'kruskal__k': 83})"
SVM_linear,15,0.6764705882352942,0.9393939393939394,83,"OrderedDict({'clf__C': 0.03670044492251928, 'kruskal__k': 83})"
SVM_linear,16,0.7878787878787878,1.0,196,"OrderedDict({'clf__C': 100.0, 'kruskal__k': 196})"
SVM_linear,17,0.5454545454545454,1.0,421,"OrderedDict({'clf__C': 0.0850056519405137, 'kruskal__k': 421})"
SVM_linear,18,0.7352941176470589,1.0,83,"OrderedDict({'clf__C': 4.986927290838126, 'kruskal__k': 83})"
